,Zone1,Zone2,Zone3,Zone4,
Wed Jan 03 00:00:00 CST 2018,1701,1610,1715,1648,
Wed Jan 03 01:00:00 CST 2018,441,401,410,387,
Wed Jan 03 02:00:00 CST 2018,91,75,64,72,
Wed Jan 03 03:00:00 CST 2018,15,10,9,13,
Wed Jan 03 04:00:00 CST 2018,7,11,15,3,
Wed Jan 03 05:00:00 CST 2018,70,59,65,57,
Wed Jan 03 06:00:00 CST 2018,282,319,291,300,
Wed Jan 03 07:00:00 CST 2018,1179,1224,1214,1262,
Wed Jan 03 08:00:00 CST 2018,3781,3648,3483,3560,
Wed Jan 03 09:00:00 CST 2018,7970,7919,7693,8023,
Wed Jan 03 10:00:00 CST 2018,12676,12534,12118,12603,
Wed Jan 03 11:00:00 CST 2018,14669,14647,14165,14513,
Wed Jan 03 12:00:00 CST 2018,12532,12498,12052,12473,
Wed Jan 03 13:00:00 CST 2018,7955,8118,7597,8009,
Wed Jan 03 14:00:00 CST 2018,3710,3808,3682,3712,
Wed Jan 03 15:00:00 CST 2018,1879,1866,1731,1884,
Wed Jan 03 16:00:00 CST 2018,6621,6420,6206,6588,
Wed Jan 03 17:00:00 CST 2018,17604,17583,16926,17527,
Wed Jan 03 18:00:00 CST 2018,15174,15156,14820,15028,
Wed Jan 03 19:00:00 CST 2018,17086,17018,16155,17042,
Wed Jan 03 20:00:00 CST 2018,19631,19534,19112,19737,
Wed Jan 03 21:00:00 CST 2018,16720,16786,16421,16636,
Wed Jan 03 22:00:00 CST 2018,10672,10644,10162,10478,
Wed Jan 03 23:00:00 CST 2018,4831,4942,4676,4749,
Thu Jan 04 00:00:00 CST 2018,1601,1706,1637,1609,
Thu Jan 04 01:00:00 CST 2018,412,391,434,403,
Thu Jan 04 02:00:00 CST 2018,84,81,69,80,
Thu Jan 04 03:00:00 CST 2018,12,9,12,5,
Thu Jan 04 04:00:00 CST 2018,8,11,9,6,
Thu Jan 04 05:00:00 CST 2018,63,40,51,60,
Thu Jan 04 06:00:00 CST 2018,299,315,286,310,
Thu Jan 04 07:00:00 CST 2018,1260,1251,1238,1252,
Thu Jan 04 08:00:00 CST 2018,3568,3560,3612,3635,
Thu Jan 04 09:00:00 CST 2018,8004,7796,7973,7959,
Thu Jan 04 10:00:00 CST 2018,12573,12419,12450,12517,
Thu Jan 04 11:00:00 CST 2018,14489,14607,14676,14716,
Thu Jan 04 12:00:00 CST 2018,12391,12311,12393,12478,
Thu Jan 04 13:00:00 CST 2018,7794,7936,7970,7813,
Thu Jan 04 14:00:00 CST 2018,3792,3736,3660,3660,
Thu Jan 04 15:00:00 CST 2018,1897,1832,1909,1885,
Thu Jan 04 16:00:00 CST 2018,6386,6418,6320,6431,
Thu Jan 04 17:00:00 CST 2018,17403,17062,17534,17343,
Thu Jan 04 18:00:00 CST 2018,14948,15064,15065,15030,
Thu Jan 04 19:00:00 CST 2018,16985,16791,16676,17045,
